Age,Lumped_Age,Genus,Species,Size,Clade1,Clade2,McHenry_shape1,McHenry_shape2,Pierce_shape,Shape,Shape_clade,image
Juvenile,two,Alligator,A. mississippiensis,2.25,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_MCZ161018_dorsal.JPG'
Juvenile,two,Alligator,A. mississippiensis,1.75,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_MCZ17706_dorsal.JPG'
Adult,three,Alligator,A. mississippiensis,2.75,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_MCZ33949_dorsal.JPG'
Juvenile,two,Alligator,A. mississippiensis,1.75,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_MCZ61221_dorsal.JPG'
Subadult,three,Alligator,A. mississippiensis,2.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_MCZ81457_dorsal.JPG'
Juvenile,two,Alligator,A. mississippiensis,2,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_TMM-M-253_Dorsal_merged.jpg'
Adult,three,Alligator,A. mississippiensis,2.75,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_TMM-M-4135_Dorsal_merged.jpg'
Adult,three,Alligator,A. mississippiensis,2.75,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_TMM-M-4863_Dorsal_merged.jpg'
Adult,three,Alligator,A. mississippiensis,2.75,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_TMM-M-4864_Dorsal_merged.jpg'
Juvenile,two,Alligator,A. mississippiensis,1.75,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_TMM-M-6707_Dorsal.JPG'
Adult,three,Alligator,A. mississippiensis,2.75,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_TMM-M-67_Dorsal_merged.jpg'
Adult,three,Alligator,A. mississippiensis,2.75,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_TMM-M-7388_Dorsal_merged.jpg'
Juvenile,two,Alligator,A. mississippiensis,1.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_TMM-M-7467_Dorsal_merged.jpg'
Subadult,three,Alligator,A. mississippiensis,2.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_TMM-M-7487_Dorsal_merged.jpg'
Subadult,three,Alligator,A. mississippiensis,2.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_TMM-M-7488_Dorsal_merged.jpg'
